,Game,Initial,Final,Reward
12046,1176,10000.0,10000.0,-98.0
12047,2669,10000.0,9957.17,-242.33
12048,7591,10000.0,9819.85,-448.15
12049,1633,10000.0,10692.19,381.19
12050,13069,10000.0,10069.31,-133.69
12051,11764,10000.0,10097.15,-52.35
12052,12912,10000.0,9856.52,-357.48
12053,12281,10000.0,10006.21,-157.79
12054,5216,10000.0,10256.15,147.15
12055,1231,10000.0,9922.42,-358.58
12056,4960,10000.0,10625.7,498.7
12057,2786,10000.0,9976.25,-165.25
12058,13822,10000.0,10210.99,95.99
12059,11757,10000.0,9620.49,-567.01
12060,2661,10000.0,9940.2,-230.8
12061,12627,10000.0,10378.47,173.47
12062,11173,10000.0,9950.4,-221.1
12063,7743,10000.0,9965.62,-272.38
12064,11553,10000.0,10239.66,97.16
12065,11446,10000.0,10199.98,115.48
